province,Invasion,Chemical control,Mowing 1st,Waterlogging,Waterlogging 2,Mowing 2nd,Recurring,Bio Sub,date,No change,removal_rate
FJ,0.0896,33.305,10.2937,0.0,0.0979,44.7995,0.0447,8.1291,2024-09-01,0.0,99.34698311027526
FJ,0.0,11.0555,1.5779,0.0,0.0,9.573,0.1085,3.433,2024-10-01,0.0,99.59685587224568
FJ,0.1341,5.377,5.7926,0.0627,0.1903,7.3764,1.5277,2.8795,2024-11-01,0.0,99.79144270681566
FJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-01,504.2977,99.79144270681566
GX,2.2526,0.0,5.5226,0.0,0.0,0.0,0.0,1.9736,2020-01-01,1044.9477,0.6938209905159587
GX,19.7749,0.0,0.6735,0.0,0.0,0.0,0.0,1.2335,2020-02-01,0.0,0.7784348385426965
GX,14.0171,0.0,0.2207,0.0,0.0,0.0,0.3138,4.6179,2020-03-01,0.0,0.766738403128775
GX,2.6935,0.0,1.1151,0.0,0.0,0.0,0.0738,4.1727,2020-04-01,747.983,0.897560080857418
GX,2.1715,0.0,1.4941,0.0,0.0,0.0,0.2032,5.1983,2020-05-01,0.0,1.0597397637345018
GX,3.5061,0.0,1.1505,0.0,0.0,0.0,0.4057,0.7838,2020-06-01,0.0,1.1533112470460516
GX,4.9931,0.0,5.0247,0.0,0.0,0.0,0.59,0.2767,2020-07-01,0.0,1.7104560604747299
GX,0.931,0.0,15.0992,0.0,0.0,0.0,0.0645,0.1661,2020-08-01,0.0,3.599311028444574
GX,3.5354,0.0,1.3078,0.0,0.0,0.0276,1.822,0.3591,2020-09-01,0.0,3.5381779943691294
GX,2.7905,0.0,6.9099,0.0,0.0,0.0,0.2485,0.7349,2020-10-01,0.0,4.37506988337486
GX,2.8519,0.0,1.6661,0.0,0.0,0.0,1.8018,0.6042,2020-11-01,0.0,4.358021480736052
GX,0.5226,0.0,2.4674,0.0,0.0,0.0092,2.9585,0.0737,2020-12-01,0.0,4.297478921917808
GX,0.5406,0.0,6.0371,0.0,0.0,0.0275,0.8691,0.0092,2021-01-01,0.0,4.950205347193171
GX,1.9158,0.0,8.435,0.0,0.0,0.1563,2.5783,0.1291,2021-02-01,0.0,5.705636777311662
GX,0.6561,0.0,8.5335,0.0,0.0,0.1567,1.4845,0.2121,2021-03-01,0.0,6.610910726422747
GX,2.4284,0.0,3.9968,0.0,0.0,0.2922,2.1333,0.1383,2021-04-01,0.0,6.88173785662507
GX,1.2359,0.0,3.0524,0.0,0.0,0.4665,0.6635,0.3965,2021-05-01,0.0,7.240470420330447
GX,1.0875,0.0,8.4217,0.0,0.0,2.8127,0.4138,2.6197,2021-06-01,0.0,8.599895222050113
GX,1.4597,0.0,6.8602,0.0,0.0,1.8088,1.4391,3.4193,2021-07-01,0.0,9.508209490570607
GX,0.7187,0.0,10.0069,0.0,0.0,1.63,1.1881,3.0781,2021-08-01,0.0,10.820923930454573
GX,2.1832,0.0,8.7401,0.0,0.0,0.1463,1.7394,6.3379,2021-09-01,0.0,11.718823220502305
GX,2.1731,0.0,8.6038,0.0,0.0,0.0183,0.7335,7.218,2021-10-01,0.0,12.70989196815453
GX,0.4334,0.0,8.6123,0.0,0.0,0.3785,0.1199,8.5576,2021-11-01,0.0,13.824370044562052
GX,0.7296,0.0,20.8556,0.0,0.0,0.5844,0.3049,9.6036,2021-12-01,0.0,16.47963676977371
GX,0.8197,0.0,4.5807,0.0,0.0,0.2852,1.0557,5.3454,2022-01-01,0.0,16.95832375381452
GX,0.2677,0.0,7.5259,0.0,0.0,0.358,0.5341,2.708,2022-02-01,0.0,17.88170142304535
GX,0.7973,0.0,15.1017,0.0,0.0,0.5058,0.7547,2.0494,2022-03-01,0.0,19.74770374223118
GX,0.5066,0.0,28.7697,0.0,0.0,0.5322,0.8661,1.0615,2022-04-01,0.0,23.320179554731403
GX,1.1349,0.0,10.8186,0.0,0.0,0.5689,1.19,3.9474,2022-05-01,0.0,24.601322413310058
GX,1.1801,0.0,30.941,0.0369,0.0,0.6684,0.5081,1.2354,2022-06-01,0.0,28.50867307646403
GX,2.0279,0.0,2.4057,0.0462,0.0,0.1939,0.5624,0.7468,2022-07-01,0.0,28.764612692202853
GX,1.7615,0.0,10.7356,0.0557,0.3049,0.7651,0.4417,2.5,2022-08-01,0.0,30.19229392099443
GX,0.5615,0.0,2.4614,0.0,0.1201,0.313,0.1199,6.5692,2022-09-01,0.0,30.54087533559724
GX,0.5811,0.0,1.3313,0.0,0.0,0.1477,0.1657,9.2301,2022-10-01,0.0,30.705869198423574
GX,0.129,0.0,3.4441,0.0,0.0554,0.304,0.1842,12.3632,2022-11-01,0.0,31.16057283637932
GX,0.1102,0.0,2.0109,0.0,0.0,0.074,0.1574,3.3009,2022-12-01,0.0,31.402730508348963
GX,0.0275,0.0,2.6665,0.0277,0.0,0.3128,0.0,1.4625,2023-01-01,0.0,31.77702900489845
GX,0.0368,0.0,2.6211,0.0924,0.1198,0.1108,0.1201,0.2581,2023-02-01,0.0,32.12020819906303
GX,0.1015,0.0,2.1009,0.0,0.3694,0.046,0.1758,1.5501,2023-03-01,0.0,32.414252313846426
GX,0.2304,0.0,1.224,0.462,0.0462,0.0,0.0462,1.8165,2023-04-01,0.0,32.56802714678588
GX,0.4317,0.0,0.9151,0.591,0.0,0.0,0.3321,4.7553,2023-05-01,0.0,32.64127120528564
GX,0.1283,0.0,3.5439,0.0184,0.0,0.1199,0.4622,2.8387,2023-06-01,0.0,33.04349792517047
GX,0.0092,0.0,6.9351,1.0996,0.0,0.5274,0.0923,0.8485,2023-07-01,0.0,33.969438508283645
GX,0.9498,0.0553,8.4748,0.8583,0.0369,0.1201,0.1196,1.2632,2023-08-01,0.0,35.045799522343216
GX,0.5988,0.0015,23.834,0.1845,0.0,0.2318,1.646,0.811,2023-09-01,0.0,37.86265545517475
GX,0.7011,0.0461,16.9084,0.2121,0.0,0.1858,0.7107,2.3046,2023-10-01,0.0,39.92675594150026
GX,0.5436,0.0,1.0531,0.0,0.0,0.0369,0.3875,0.9037,2023-11-01,0.0,40.01501314749696
GX,0.3136,0.0277,0.9519,0.0,0.0,0.9812,0.1383,0.0734,2023-12-01,0.0,40.24397935095463
GX,0.2859,0.0554,1.4952,0.0369,0.0,0.2961,0.12,0.1195,2024-01-01,0.0,40.46090990980804
GX,0.3317,0.0923,2.3914,0.0,0.0,0.0648,0.2493,0.6825,2024-02-01,0.0,40.74976538031003
GX,0.2486,0.0,0.5533,0.0,0.0,0.1752,1.2999,1.4479,2024-03-01,0.0,40.67797866499827
GX,0.691,0.0184,0.1384,0.0,0.0,0.7475,3.1854,2.2683,2024-04-01,0.0,40.39139715240165
GX,0.1741,0.0,0.1293,0.0553,0.0,0.4336,1.1908,2.315,2024-05-01,0.0,40.31251217070011
GX,0.1383,0.0,5.2466,0.0184,0.0,0.1752,0.1753,0.6549,2024-06-01,0.0,40.971645880681315
GX,0.0553,0.0,7.655,0.0,0.0,0.2962,0.3414,0.2767,2024-07-01,0.0,41.92768813860843
GX,0.0,0.0185,24.9378,0.0,0.0,1.3014,0.0553,0.9033,2024-08-01,0.0,45.21957513420749
GX,0.0,0.0743,25.1982,0.0,0.0,2.5294,0.0277,2.7224,2024-09-01,0.0,48.70893213177902
GX,0.0,0.0237,22.1232,0.0,0.0,0.0738,0.0,2.2521,2024-10-01,0.0,51.500586078101065
GX,0.0,0.0185,0.1385,0.0,0.0,0.0369,0.0461,0.3768,2024-11-01,0.0,51.51915464044456
GX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-01,93.7974,51.51915464044456
JS,50.0787,18.7272,91.8954,0.0,0.9409,0.0,0.0,2.4069,2020-01-01,15500.4103,0.41013680072296
JS,28.566,0.0506,43.6795,0.0,0.0249,0.0,0.0,0.8352,2020-02-01,325.6422,0.5709917014354199
JS,172.544,0.0,43.5744,0.0,0.299,0.0,19.3572,0.304,2020-03-01,0.0,0.6611197077626008
JS,58.1206,0.0,79.198,0.0,0.2614,0.0,5.862,0.1603,2020-04-01,0.5214,0.9316831283932708
JS,25.0179,1.0618,28.1887,0.0501,0.2991,0.2821,3.2028,0.2531,2020-05-01,0.0,1.0295779761953916
JS,320.0795,0.4298,33.6502,0.0,2.4001,0.9022,60.384,0.2447,2020-06-01,0.0,0.9450176706367641
JS,345.5633,8.2075,62.4181,0.0,1.5963,4.1235,36.0231,0.2191,2020-07-01,0.0,1.0932530623176595
JS,177.7202,3.2948,83.4878,0.0,5.862,3.0967,4.0992,0.2531,2020-08-01,0.0,1.4301535513264707
JS,131.6491,1.8032,84.4907,0.0,0.0083,1.8096,4.8896,0.1182,2020-09-01,0.0,1.7361002709715723
JS,107.1586,0.3036,19.5451,0.0,0.0084,0.3088,5.59,0.0422,2020-10-01,0.0,1.7896851172130217
JS,73.85,0.1851,26.2097,0.0,0.0,0.0586,16.799,0.0169,2020-11-01,0.0,1.8251772336211574
JS,31.4351,0.0843,25.876,0.0,0.0,0.3542,14.6406,0.0675,2020-12-01,0.0,1.8680935637646072
JS,28.5777,0.0084,15.3714,0.0,0.0423,1.4111,15.7162,0.0169,2021-01-01,0.0,1.8721999498712487
JS,29.3754,0.0,61.5565,0.0332,0.0166,3.9917,12.3377,0.0084,2021-02-01,0.0,2.067876784192166
JS,31.4266,0.0,107.1145,0.0,0.0,6.1525,7.0788,0.0,2021-03-01,0.0,2.45825256679606
JS,75.5863,0.0,64.3901,0.0,0.1099,6.664,16.7294,0.1007,2021-04-01,0.0,2.6583684890522954
JS,274.7584,0.0,69.3959,0.2759,0.1149,5.6832,26.216,0.0167,2021-05-01,0.0,2.8384245129831496
JS,305.6444,0.0,106.8339,0.8066,0.9267,5.2662,8.839,0.69,2021-06-01,0.0,3.2214462984807692
JS,551.109,0.4906,145.6275,2.8764,0.8988,3.0252,11.0156,2.3585,2021-07-01,0.0,3.732544318224785
JS,231.7053,0.3119,81.7507,2.0339,1.5542,1.7834,10.0552,9.6724,2021-08-01,0.0,4.009532376599351
JS,49.4572,0.118,205.3429,1.8995,0.0997,3.8211,8.8647,17.4793,2021-09-01,0.0,4.74668566482146
JS,109.4152,0.076,105.8777,2.2233,0.733,1.5602,30.4654,3.1846,2021-10-01,0.0,5.032630938727637
JS,62.1908,0.0084,135.4096,0.2782,0.0,3.3613,9.1497,0.9932,2021-11-01,0.0,5.509183479863381
JS,38.1129,0.0084,99.6205,0.0,0.0,8.2273,31.3086,0.766,2021-12-01,0.0,5.790592612483119
JS,69.727,0.0,49.0429,0.0672,0.1429,5.704,18.9913,1.7664,2022-01-01,0.0,5.922564950575347
JS,225.4558,0.0,43.2985,0.0165,0.0,7.1719,54.0512,2.2848,2022-02-01,0.0,5.909400986948994
JS,77.0193,0.0,30.6841,0.0083,0.0,1.0376,57.4902,6.5094,2022-03-01,0.0,5.81466919609062
JS,57.8376,0.0,59.2678,0.0498,0.0,1.3494,60.4896,6.3778,2022-04-01,0.0,5.8151382872877555
JS,85.3815,0.0,40.9596,0.0415,0.0,5.4686,4.6828,2.4823,2022-05-01,0.0,5.968605369271558
JS,252.6259,0.0,61.6558,1.1039,0.4867,22.2488,9.4567,7.3304,2022-06-01,0.0,6.244084689187624
JS,128.0108,0.0,78.2824,0.8155,0.3932,21.3574,8.9744,6.149,2022-07-01,0.0,6.578840078560585
JS,62.6993,0.0,76.698,1.7445,0.1499,22.3263,2.9774,9.2088,2022-08-01,0.0,6.932484844024081
JS,138.712,0.8176,65.7058,7.4269,0.8083,17.2271,7.2067,12.026,2022-09-01,0.0,7.216851530469049
JS,36.3802,4.7688,26.1012,0.5248,0.2576,3.667,4.3069,4.2642,2022-10-01,0.0,7.328932343095061
JS,130.8304,0.2612,37.7376,0.6586,0.1909,2.9159,15.2197,5.9976,2022-11-01,0.0,7.42409572726491
JS,35.6863,0.1264,33.4773,0.1831,0.0415,1.1163,10.2279,0.9917,2022-12-01,0.0,7.5142877005735444
JS,38.4329,0.1348,115.6554,1.1116,0.3573,2.5758,7.5786,0.6701,2023-01-01,0.0,7.92288488222626
JS,31.9991,0.0506,253.3347,0.4449,0.403,5.1744,4.3625,0.192,2023-02-01,0.0,8.858862253780817
JS,83.3725,0.0,180.6794,3.1006,0.0903,8.9004,4.5073,1.8022,2023-03-01,0.0,9.539569460034706
JS,87.0459,0.0,123.3403,2.067,2.1915,3.3483,5.05,1.5595,2023-04-01,0.0,9.994801512159327
JS,68.1815,0.0819,102.8257,10.0798,0.0839,4.8495,2.6433,4.7998,2023-05-01,0.0,10.381535955964095
JS,157.3138,0.4818,226.3628,29.9911,1.1503,8.18,3.0831,2.0075,2023-06-01,0.0,11.23844278594663
JS,18.917,0.1014,597.0437,27.5548,4.544,15.1221,4.191,0.74,2023-07-01,0.0,13.490595944338589
JS,72.8594,0.3603,1079.9426,36.9672,11.8521,21.4398,15.1363,1.8815,2023-08-01,0.0,17.52881861498754
JS,39.4459,32.0157,1950.443,59.3847,199.5795,38.7408,4.0651,0.8648,2023-09-01,0.0,25.67804257321869
JS,9.5318,39.7176,2868.6639,96.2011,611.0992,54.1864,1.8351,0.7662,2023-10-01,0.0,38.80903747029435
JS,3.2478,9.0346,1337.109,121.4951,1371.1372,34.1372,2.6439,1.0233,2023-11-01,0.0,48.91425481543089
JS,8.5511,7.2935,179.5799,128.573,345.7035,4.4627,23.7345,0.7315,2023-12-01,0.0,50.80129951650947
JS,4.5339,3.4886,94.0377,22.3945,12.6276,1.9644,32.6686,0.4365,2024-01-01,0.0,51.09337753285351
JS,1.5154,3.6652,235.2615,18.1201,1.2429,17.5976,36.918,0.4725,2024-02-01,0.0,51.9052773417536
JS,8.9419,7.0448,364.1098,39.737,14.836,48.2705,203.9009,0.7313,2024-03-01,0.0,52.75214209090455
JS,44.1184,5.3384,160.1556,106.1355,11.2387,10.4104,341.6967,3.3345,2024-04-01,0.0,52.18396236326768
JS,32.5259,1.4732,324.2584,265.5974,27.0937,29.6862,157.6846,1.8895,2024-05-01,0.0,53.01048524469808
JS,34.7939,6.0624,2083.399,515.6413,215.7801,92.8459,175.745,2.2163,2024-06-01,0.0,61.18040105091598
JS,2.0504,1.4436,1589.498,126.682,204.0001,55.8044,18.4853,4.0164,2024-07-01,0.0,67.91627418686184
JS,0.0673,36.7396,1251.8329,213.8155,323.4223,164.4226,1.27,3.9666,2024-08-01,0.0,74.44218342642213
JS,0.0084,640.2442,990.1026,120.2106,154.938,488.6225,0.3371,12.5992,2024-09-01,0.0,82.8004261137443
JS,0.0589,318.114,248.3747,53.3718,127.6541,55.3103,1.3061,3.3578,2024-10-01,0.0,85.55081147320759
JS,0.5948,107.0298,38.8265,18.1628,1.4387,5.2206,22.1745,4.9955,2024-11-01,0.0,86.02997967568162
JS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-01,4539.4325,86.02997967568162
SD,71.533,0.0711,45.3956,0.0,0.0,0.0,0.0,0.0,2020-01-01,4402.3806,0.4665905823549088
SD,10.4532,0.0,9.2862,0.0,0.0,0.0,0.0,0.0,2020-02-01,21.4074,0.5618878761075585
SD,12.1049,0.0,35.2113,0.0,0.0,0.0,4.5743,0.0,2020-03-01,0.0,0.8762923891161511
SD,12.3528,0.0,42.1405,0.0,0.0395,0.0,2.0515,0.0,2020-04-01,0.0,1.2881010355327405
SD,48.9074,0.0,3.7299,0.0,0.0,0.008,8.8083,0.0,2020-05-01,0.0,1.236067329792656
SD,409.8715,0.0,6.0558,0.0,0.0,0.3193,55.7287,0.0,2020-06-01,0.0,0.7295884130181562
SD,301.084,0.0,2.476,0.0,0.3158,0.1735,18.4619,0.3864,2020-07-01,0.0,0.5705584500227956
SD,133.1047,0.0,6.2284,0.0,0.2132,0.0952,0.6565,0.4025,2020-08-01,0.0,0.6309035509740823
SD,10.8724,0.0,13.416,0.0,6.8139,0.1587,0.1928,0.1047,2020-09-01,0.0,0.8381578729970807
SD,28.8049,0.0,5.3258,0.0,0.0316,0.0316,1.2115,0.0,2020-10-01,0.0,0.8810284168849658
SD,17.4867,0.0,0.5093,0.0,0.5211,0.0,3.8186,0.0,2020-11-01,0.0,0.8524152150972464
SD,18.09,0.0,3.5463,0.0,0.0,0.1273,3.5711,0.0,2020-12-01,0.0,0.8534670955876122
SD,2.6575,0.0,6.9674,0.0,0.0,0.3901,0.3263,0.0,2021-01-01,0.0,0.9256230185522019
SD,15.4735,0.0,1.3144,0.0,0.0,0.1117,1.9633,0.0,2021-02-01,0.0,0.9201101385578059
SD,16.0573,0.0,8.4414,0.0,0.0,0.5968,4.099,0.0,2021-03-01,0.0,0.970797437270221
SD,8.55,0.0,23.7915,0.0473,0.0,0.5836,0.4607,0.0,2021-04-01,0.0,1.2162129572588665
SD,86.2104,0.0,34.0444,0.1263,0.0,0.6374,1.1478,0.0,2021-05-01,0.0,1.5603472047122646
SD,164.0808,0.0,38.815,0.1342,0.0,1.3364,2.0564,0.0,2021-06-01,0.0,1.9512875684248199
SD,76.6857,0.0,93.1754,0.4182,0.134,1.2943,0.5455,0.0,2021-07-01,0.0,2.916536207830245
SD,103.4779,0.0,254.6305,1.6493,0.0,8.7649,0.5748,0.0402,2021-08-01,0.0,5.613666564967779
SD,53.606,0.0,3178.104,0.7023,0.1576,38.6592,4.0497,0.0642,2021-09-01,0.0,38.584948790865944
SD,52.2834,0.0,2350.6212,0.0946,0.1732,19.5799,0.8419,0.1045,2021-10-01,0.0,62.90167955040678
SD,8.8004,0.0,576.5857,0.2129,0.0394,7.8268,0.3982,0.0,2021-11-01,0.0,68.8953838660826
SD,4.1018,0.0,299.5893,0.0,0.0,3.164,0.6186,0.0,2021-12-01,0.0,71.99596529430642
SD,19.1819,0.0,29.6696,0.0,0.0,0.2454,12.0481,0.0965,2022-01-01,0.0,72.17931986536341
SD,27.8857,0.0,96.509,0.0079,0.0,1.02,26.735,0.008,2022-02-01,0.0,72.90582549887614
SD,14.8226,0.0,27.4365,0.0,0.0,1.6281,85.8494,0.0079,2022-03-01,0.0,72.32308575966245
SD,8.6598,0.0,25.22,0.0,0.0,6.3107,2498.9726,0.0,2022-04-01,0.0,47.001583362349834
SD,8.3982,0.0,51.7954,0.0473,0.0,9.2667,153.4421,0.0563,2022-05-01,0.0,46.05355682869012
SD,21.2976,0.0,30.8003,0.3548,0.0,32.8348,38.3277,0.0723,2022-06-01,0.0,46.313267661099076
SD,9.0786,0.0,44.5009,0.0394,0.0,220.9594,12.0451,0.37,2022-07-01,0.0,48.91387746444054
SD,4.4203,0.0,71.4083,0.5237,0.1115,1370.0845,3.6663,0.0642,2022-08-01,0.0,63.67035481622211
SD,0.8939,0.0,123.0186,0.364,0.4221,1115.572,4.003,0.8447,2022-09-01,0.0,76.34433148787315
SD,3.4118,0.0,55.9784,0.8629,0.0794,37.5536,1.8236,0.4344,2022-10-01,0.0,77.28628071786072
SD,4.0672,0.0,77.2156,1.9966,0.0,10.9742,8.9845,0.1609,2022-11-01,0.0,78.09910520375027
SD,3.5561,0.0,55.992,0.64,0.0,6.3182,11.4442,0.008,2022-12-01,0.0,78.62110474543825
SD,10.1596,0.0,70.4774,1.4881,0.0,7.8738,8.0591,0.0804,2023-01-01,0.0,79.34245975633522
SD,4.9309,0.0,24.1802,0.6083,0.0,1.2691,7.406,0.008,2023-02-01,0.0,79.5276245880605
SD,10.7554,0.0,52.8153,0.2855,0.0318,2.2809,6.1581,0.2333,2023-03-01,0.0,80.030165880014
SD,1.5537,0.0,73.2406,0.0631,0.1278,9.5152,5.8629,0.5712,2023-04-01,0.0,80.820571457423
SD,3.8661,0.0,42.3639,1.0743,0.567,5.3497,14.0638,0.1126,2023-05-01,0.0,81.17171276827955
SD,17.0674,0.0,31.7088,6.6034,1.4614,2.5154,2.6506,0.3379,2023-06-01,0.0,81.51072615363837
SD,0.2159,0.0,110.9176,33.9703,7.2171,19.5572,0.8019,0.0322,2023-07-01,0.0,82.91552537633461
SD,1.68,0.7366,443.2692,11.446,1.2229,27.3394,1.0942,0.4827,2023-08-01,0.0,87.75390778733296
SD,5.3943,3.3108,491.8485,4.0309,1.8621,14.7075,1.7523,0.1528,2023-09-01,0.0,92.98741448083337
SD,1.8698,0.2817,127.6661,3.9981,6.1096,3.5229,0.5379,0.0724,2023-10-01,0.0,94.39377767022943
SD,0.0079,0.1771,24.3081,0.7568,0.9188,1.3741,0.483,0.4424,2023-11-01,0.0,94.66362452566605
SD,3.804,0.0161,21.1169,7.0109,3.1501,0.9762,3.3812,0.2252,2023-12-01,0.0,94.88814302865435
SD,0.0322,0.0644,5.9575,1.0097,0.0398,0.6537,1.0456,0.1609,2024-01-01,0.0,94.94632792625713
SD,0.2638,1.6721,3.2694,5.4636,0.0719,0.3357,9.939,0.2172,2024-02-01,0.0,94.8992252310109
